Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Googlele,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla,Apple,Amazon,Google,Microsoft,Tesla
2019-02-26 00:00:00+00:00,41.85155106,81.81999969,55.61990738,106.5699768,19.85733223,43.58250046,81.81999969,55.75650024,112.3600006,19.85733223,43.82500076,81.99949646,55.9754982,113.2399979,20.13400078,43.29249954,80.8065033,54.99599838,111.1699982,19.25133324,43.42750168,81.2990036,55.28749847,111.2600021,19.48133278,68280800,53316000,29426000,21536700,128737500
2019-02-27 00:00:00+00:00,41.98119736,82.05449677,55.66579437,106.3897705,20.98266792,43.71749878,82.05449677,55.80250168,112.1699982,20.98266792,43.75,82.09049988,55.89899826,112.3600006,21.08666611,43.18249893,80.75499725,55.04999924,110.8799973,20.03666687,43.30250168,81.40899658,55.34749985,111.6900024,20.1186676,111341600,62976000,19368000,21487100,167758500
2019-02-28 00:00:00+00:00,41.56826401,81.99150085,55.85881805,106.2569809,21.32533264,43.28749847,81.99150085,55.99599838,112.0299988,21.32533264,43.72750092,82.58850098,56.38249969,112.8799973,21.33333206,43.22999954,81.6914978,55.55049896,111.7300034,20.72066689,43.58000183,81.76249695,55.56499863,112.0400009,21.26133347,112861600,60518000,30850000,29083900,157810500
2019-03-01 00:00:00+00:00,42.00518799,83.58650208,56.90973663,106.7312164,19.65266609,43.74250031,83.58650208,57.04949951,112.5299988,19.65266609,43.78749847,83.71299744,57.14849854,113.0199966,20.47533226,43.22249985,82.55000305,56.23749924,111.6699982,19.45999908,43.56999969,82.75650024,56.24499893,112.8899994,20.46266747,103544800,99498000,29006000,23501200,343671000
2019-03-04 00:00:00+00:00,42.21646118,84.8085022,57.24940491,106.4751205,19.02400017,43.96250153,84.8085022,57.38999939,112.2600021,19.02400017,44.4375,85.47149658,57.91400146,113.25,19.93333244,43.49250031,83.71800232,56.53450012,110.8000031,18.85199928,43.92250061,84.25,57.34949875,113.0199966,19.87466621,109744800,123348000,28920000,26608000,256452000
2019-03-05 00:00:00+00:00,42.13963699,84.62149811,57.95916367,105.9439926,18.43600082,43.88249969,84.62149811,58.10150146,111.6999969,18.43600082,44,85.38999939,58.48049927,112.3899994,18.93333244,43.63499832,84.45050049,57.3097496,111.2300034,18.00666618,43.98500061,85.14749908,57.50299835,112.25,18.79999924,78949600,73630000,28864000,19538300,281470500
2019-03-06 00:00:00+00:00,41.89716721,83.44750214,57.75117493,105.991394,18.41600037,43.63000107,83.44750214,57.89300156,111.75,18.41600037,43.87250137,84.88749695,58.37829971,112.6600037,18.76733208,43.48500061,83.41400146,57.7745018,111.4300003,18.29266739,43.66749954,84.79850006,58.12450027,111.8700027,18.43199921,83241600,79920000,21986000,17687000,155032500
2019-03-07 00:00:00+00:00,41.41222382,81.29750061,57.02495956,104.7014923,18.43933296,43.125,81.29750061,57.16500092,110.3899994,18.43933296,43.61000061,83.48750305,57.83774948,111.5500031,18.97999954,43.00500107,81.02549744,56.74549866,109.8700027,18.28333282,43.46749878,83.36849976,57.7859993,111.4000015,18.58933258,99185600,99140000,23332000,25339000,141637500
2019-03-08 00:00:00+00:00,41.51064682,81.04000092,56.97607803,104.8153076,18.94266701,43.22750092,81.04000092,57.11600113,110.5100021,18.94266701,43.26750183,81.13600159,57.35400009,110.7099991,19.03933334,42.375,79.32849884,56.16500092,108.8000031,18.39266777,42.58000183,80.20050049,56.33649826,109.1600037,18.46066666,95997600,93340000,24248000,22818400,132294000
2019-03-11 00:00:00+00:00,42.94867325,83.53099823,58.64397812,107.0157547,19.39466667,44.72499847,83.53099823,58.7879982,112.8300018,19.39466667,44.77999878,83.61450195,58.80950165,112.9499969,19.41866684,43.83750153,81.30049896,57.22249985,110.9800034,18.70000076,43.87250137,81.30599976,57.22249985,110.9899979,18.90133286,128044000,77528000,34384000,26491600,110884500
2019-03-12 00:00:00+00:00,43.43121338,83.65499878,59.51384735,107.7650375,18.89066696,45.22750092,83.65499878,59.65999985,113.6200027,18.89066696,45.66749954,84.21350098,60,113.9899979,19.20466614,44.84249878,83.0490036,58.9129982,112.6500015,18.7373333,45,83.44999695,58.9129982,112.8199997,19.09933281,129870400,72290000,40262000,26132700,112561500
2019-03-13 00:00:00+00:00,43.62327194,84.54049683,59.51983261,108.5996857,19.26399994,45.42750168,84.54049683,59.66600037,114.5,19.26399994,45.82500076,85,60.04650116,115,19.4659996,45.22999954,83.96749878,59.59700012,113.7799988,18.84666634,45.5625,84.15000153,60.03224945,114.1299973,18.92666626,124130000,71040000,28718000,35513800,102670500
2019-03-14 00:00:00+00:00,44.10821152,84.31099701,59.13227844,108.6850739,19.3306675,45.93249893,84.31099701,59.27750015,114.5899963,19.3306675,46.02500153,85.09999847,59.89400101,115.1999969,19.69266701,45.63999939,84.21700287,59.22399902,114.3300018,19.21933365,45.97499847,84.55999756,59.7254982,114.5400009,19.49666786,94318000,58932000,23456000,30763400,106551000
2019-03-15 00:00:00+00:00,44.68198776,85.61799622,59.07791519,109.9370499,18.36199951,46.52999878,85.61799622,59.22299957,115.9100037,18.36199951,46.83250046,85.94000244,59.82849884,117.25,18.91466713,45.93500137,84.65650177,59.13050079,114.5899963,18.29333305,46.21250153,85.15000153,59.66899872,115.3399963,18.90066719,156171600,151018000,49236000,54681100,221782500
2019-03-18 00:00:00+00:00,45.13812256,87.10749817,59.06794357,111.5115051,17.9659996,47.00500107,87.10749817,59.21300125,117.5699997,17.9659996,47.09749985,87.5,59.5,117.6100006,18.53666687,46.44749832,85.63150024,58.87105179,116.0500031,17.81999969,46.45000076,85.63500214,59.16500092,116.1699982,18.39999962,104879200,108582000,25852000,31207600,154215000
